"ID";"KenmerkenBaanWerknemer";"Perioden";"BeloningsverschilTussenManEnVrouw_1"
"168";"10760";"2008JJ00";"    75.0"
"169";"10760";"2009JJ00";"    75.2"
"170";"10760";"2010JJ00";"    76.0"
"171";"10760";"2011JJ00";"    75.6"
"172";"10760";"2012JJ00";"    76.3"
"173";"10760";"2013JJ00";"    77.4"
"174";"10760";"2014JJ00";"    77.8"
"175";"10760";"2015JJ00";"    77.9"
"176";"10770";"2008JJ00";"    75.0"
"177";"10770";"2009JJ00";"    75.6"
"178";"10770";"2010JJ00";"    76.4"
"179";"10770";"2011JJ00";"    76.6"
"180";"10770";"2012JJ00";"    77.0"
"181";"10770";"2013JJ00";"    77.9"
"182";"10770";"2014JJ00";"    77.7"
"183";"10770";"2015JJ00";"    77.5"
"184";"10780";"2008JJ00";"    73.3"
"185";"10780";"2009JJ00";"    74.3"
"186";"10780";"2010JJ00";"    75.4"
"187";"10780";"2011JJ00";"    75.9"
"188";"10780";"2012JJ00";"    76.6"
"189";"10780";"2013JJ00";"    77.9"
"190";"10780";"2014JJ00";"    78.5"
"191";"10780";"2015JJ00";"    78.6"
"192";"10790";"2008JJ00";"    79.5"
"193";"10790";"2009JJ00";"    79.9"
"194";"10790";"2010JJ00";"    80.4"
"195";"10790";"2011JJ00";"    79.2"
"196";"10790";"2012JJ00";"    79.6"
"197";"10790";"2013JJ00";"    79.3"
"198";"10790";"2014JJ00";"    78.1"
"199";"10790";"2015JJ00";"    78.9"
"200";"10800";"2008JJ00";"    88.9"
"201";"10800";"2009JJ00";"    87.5"
"202";"10800";"2010JJ00";"    87.0"
"203";"10800";"2011JJ00";"    85.5"
"204";"10800";"2012JJ00";"    84.6"
"205";"10800";"2013JJ00";"    80.9"
"206";"10800";"2014JJ00";"    79.3"
"207";"10800";"2015JJ00";"    79.5"
